U01;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3101;CROS, SA;T3101;3;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3110;Instituto Químico de Sarriá;T3110;4;1930;1970;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3113;SECN;T3113;5;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3117;Compañía Española de Petróleos SA;T3117;4;1930;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3118;Jefatura de Tropas de Montaña Aragón;T3118;4;1930;1970;mountain_training;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3100;Construcciones Aeronáuticas SA;T3100;3;1930;1970;aeronautics;chemistry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3112;Hispano Aviación;T3112;4;1937;1945;aeronautics;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3119;Hispano Aviación;T3112;5;1945;1970;aeronautics;rocketry;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3103;Astra Unceta y Cía;T3103;4;1930;1970;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3120;CETME;T3120;5;1949;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3121;Bonifacio Echeverría S.A.;T3121;5;1930;1970;chemistry;training;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3122;Fábrica de armas de Trubia;T3122;3;1930;1970;RT_user_18;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3116;Kinderlán Duany;T3116;3;1930;1940;training;rt_user_1;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3123;Félix Verdeja Bardales;T3123;3;1930;1970;training;BLITZKRIEG_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3108;Franco Bahamonde;T3108;4;1930;1970;infantry_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3109;García Valiño;T3109;5;1930;1970;training;decentralized_execution;small_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3111;García Morato;T3111;5;1930;1939;training;rt_user_6;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3124;Juan Yagüe Blanco;T3124;4;1939;1940;rt_user_5;rt_user_3;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3125;Juan Vigón Suero Díaz;T3125;5;1940;1945;rt_user_5;rt_user_6;rt_user_3;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3126;Eduardo González-Gallarza;T3126;3;1945;1957;rt_user_4;rt_user_5;rt_user_6;airborne_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3127;José Rodríguez Díaz de Lecea;T3127;4;1957;1970;rt_user_5;rt_user_6;rt_user_3;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3115;Cervera Valderrama;T3115;4;1930;1939;training;small_taskforce_tactics;seamanship;decentralized_execution;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3128;Salvador Moreno Fernández;T3128;3;1939;1945;rt_user_11;rt_user_14;rt_user_16;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3129;Francisco Regalado Rodríguez;T3129;5;1945;1951;seamanship;rt_user_13;rt_user_10;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3130;Salvador Moreno Fernández;T3128;4;1951;1957;rt_user_11;rt_user_16;rt_user_7;training;rt_user_14;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3131;Felipe José Abárzuza Oliva;T3131;4;1957;1970;seamanship;rt_user_13;rt_user_10;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
3106;Juan López Soler;T3106;4;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3102;Dr. Areilza y Mtez.-Rodas;T3102;3;1930;1970;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
