U46;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1045001;Organisation Todt;T1015001;3;1930;1970;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1045002;RMfdbO;T1015002;3;1930;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1045003;DAF;T1045003;1;1930;1970;general_equipment;rt_user_18;training;artillery;rt_user_17;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1045004;Fokker;T1045004;4;1930;1970;aeronautics;technical_efficiency;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1045005;Siderius;T1045005;2;1930;1970;artillery;mechanics;training;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1045006;Philips Werke;T1045006;3;1930;1970;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1045007;Rijkswerf;T1045007;2;1930;1970;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1045008;Scheepsbouw Maatschappij;T1045008;3;1930;1970;naval_engineering;technical_efficiency;naval_artillery;rt_user_10;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1045009;Zentralbank Niederlande;T1045009;2;1930;1970;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1045010;SS-Ausbildungs-Schule Arnhem;T1045010;4;1930;1970;general_equipment;electronics;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1045011;Befehlshaber Niederlande;T1045011;2;1930;1970;small_unit_tactics;decentralized_execution;training;airborne_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1045012;Admiral in den Niederlanden;T1045012;2;1930;1970;decentralized_execution;rt_user_9;rt_user_16;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1045013;Jagdfliegerführer Niederlande;T1045013;2;1930;1970;rt_user_5;rt_user_6;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
