U19;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
611300;Artillerie Inrichtingen Hembrug;T2300;4;1930;1970;artillery;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611301;DAF;T2301;5;1930;1970;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611302;Fokker;T2302;6;1930;1970;mechanics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611303;HIH Siderius;T2303;5;1930;1970;artillery;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611304;Koninklijke Maatschappij;T2304;5;1930;1970;naval_engineering;electronics;technical_efficiency;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611305;Koolhoven;T2305;5;1930;1966;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611306;NSM Amsterdam;T2306;6;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611307;Shell;T2307;7;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611308;Wilton-Fijenoord;T2308;6;1930;1970;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611309;Izaak Reynders;T2309;4;1930;1940;training;infantry_focus;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611310;Johannes Furstner;T2310;4;1930;1970;training;large_taskforce_tactics;seamanship;small_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611311;Marius Raaijmakers;T2311;5;1930;1940;training;rt_user_6;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611312;Petrus Best;T2312;4;1937;1970;training;rt_user_1;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611313;Henri Winkelman;T2313;4;1936;1970;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611314;Philips;T2314;7;1936;1970;electronics;mathematics;technical_efficiency;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611316;Frits Zernike;T2316;6;1930;1970;electronics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
