U02;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
825001;University of Delhi;T11412;3;1930;1963;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
825004;Indian Military Academy;T11410;2;1936;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
825010;Tata Chemicals Limited;T825010;3;1939;1970;chemistry;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825011;Tata Motors Limited;T825011;5;1945;1970;general_equipment;rt_user_17;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825012;Gun Carriage Factory Jabalpur;T825012;4;1930;1970;artillery;mechanics;training;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825013;Ordnance Factories Board;T825013;3;1950;1970;general_equipment;electronics;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825030;Vickers Maintenance Plant;T316;4;1939;1947;mechanics;artillery;technical_efficiency;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825031;Heavy Vehicles Factory;T825031;6;1947;1970;mechanics;artillery;technical_efficiency;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825014;Hindustan Aircraft;T825014;4;1941;1946;aeronautics;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825015;Hindustan Aircraft;T825014;5;1946;1970;aeronautics;aircraft_testing;mechanics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825016;Ishapore Arsenal;T825016;3;1930;1970;chemistry;electronics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825017;Indian Parachute Regiment;T825017;3;1941;1970;airborne_training;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825018;Hindustan Shipyard Limited;T825018;4;1941;1970;naval_engineering;submarine_tactics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825019;Mazagon Dock Limited;T825019;5;1947;1970;;naval_engineering;technical_efficiency;electronics;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825020;Subroto Mukherjee;T825020;5;1930;1960;rt_user_5;rt_user_6;rt_user_3;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825021;Arjan Singh;T825021;4;1960;1970;rt_user_5;rt_user_6;rt_user_3;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825022;Radhakrishna Hariram Tahiliani;T825022;4;1950;1970;rt_user_5;rt_user_6;rt_user_3;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825008;William E. Parry;T11419;2;1940;1943;small_taskforce_tactics;centralized_execution;seamanship;training;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
825023;Ram Dass Katari;T825023;4;1930;1970;decentralized_execution;rt_user_9;rt_user_16;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
825024;Sardarilal Mathradas Nanda;T825024;4;1947;1970;rt_user_8;rt_user_15;large_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
825007;Victor Lord Linlithgow;T11418;4;1930;1945;large_unit_tactics;combined_arms_focus;training;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
825003;Frank Messervy;T11417;4;1939;1947;small_unit_tactics;infantry_focus;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
825025;Kodandera Madappa Cariappa;T825025;4;1948;1953;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
825026;Maharaj Shri Rajendrasinhji;T825026;3;1953;1955;large_unit_tactics;centralized_execution;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
825027;Satyawant Mallannah Shrinagesh;T825027;3;1955;1957;large_unit_tactics;centralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
825028;Kodendera Subayya Thimayya;T825028;4;1957;1970;large_unit_tactics;centralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
825029;Indian Armoured Corps;T825029;5;1941;1970;combined_arms_focus;BLITZKRIEG_TACTICS;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
