U44;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1035001;Organisation Todt;T1015001;3;1930;1970;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035002;RMfdbO;T1015002;3;1930;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035003;Mauser Waffenfabrik Warschau;T1035003;3;1930;1970;general_equipment;electronics;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1035004;Manufaktur Gerlach;T1035004;2;1930;1970;general_equipment;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1035005;Monopolbetriebe Generalgouvernement;T1035005;3;1930;1970;management;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035006;Sächsische Maschinenfabrik;T1035006;2;1930;1970;general_equipment;rt_user_17;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1035007;Stahlwerke Stalowa Wola;T1035007;2;1930;1970;chemistry;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035008;Flugzeugwerke Warschau;T1035008;3;1930;1970;aeronautics;technical_efficiency;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035009;Ursus Fahrzeugwerke;T1035009;2;1930;1970;industrial_engineering;mechanics;technical_efficiency;artillery;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035010;Modlin Werften;T1035010;1;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035011;Zentralverwaltung;T1035011;2;1930;1970;mathematics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035012;Befehlshaber Generalgouvernement;T1035012;2;1930;1970;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035013;Admiral Ostsee;T1035013;2;1930;1970;decentralized_execution;rt_user_9;rt_user_16;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035014;Luftkommando Generalgouvernement;T1035014;2;1930;1970;rt_user_5;rt_user_6;training;rt_user_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
