U15;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
832001;University of Delhi;T11412;3;1930;1963;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832002;J.R.D. Tata;T11407;2;1930;1970;mechanics;general_equipment;industrial_engineering;management;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832003;Frank Messervy;T11417;4;1939;1970;small_unit_tactics;infantry_focus;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832004;Indian Military Academy;T11410;2;1936;1970;general_equipment;artillery;training;BLITZKRIEG_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832005;Tata Steel;T825005;4;1941;1970;chemistry;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832006;Royal Indian Air Force;T825006;2;1948;1970;rt_user_6;piloting;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832007;Victor Lord Linlithgow;T11418;4;1930;1970;large_unit_tactics;combined_arms_focus;training;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832008;William E. Parry;T11419;2;1940;1970;small_taskforce_tactics;centralized_execution;seamanship;training;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832009;University of Rangoon;T10000;3;1930;1963;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832010;Union of Burma Railways;T10001;2;1930;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832011;Ne Win;T10004;4;1949;1970;small_unit_tactics;infantry_focus;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832012;Thaik Tun;T10007;4;1942;1970;bomber_tactics;centralized_execution;piloting;training;rt_user_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832013;Defence Industries;T10008;4;1960;1970;chemistry;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832014;Burma Air Force;T10009;2;1948;1970;rt_user_6;piloting;centralized_execution;training;rt_user_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832015;Burma Army;T10010;4;1930;1970;large_unit_tactics;combined_arms_focus;training;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
832016;Burma Navy;T10011;2;1940;1970;small_taskforce_tactics;centralized_execution;seamanship;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
