U45;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1040001;Organisation Todt;T1015001;3;1930;1970;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1040002;RMfdbO;T1015002;3;1930;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1040003;Nordische Aluminium AG;T1040003;3;1930;1970;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1040004;IG Farben;T1040004;3;1930;1970;chemistry;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1040006;Wehrmachts-Arsenal Oslo;T1040006;3;1930;1970;general_equipment;electronics;training;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x  
1040007;Luftwaffenmission Norwegen;T1040007;3;1930;1970;aeronautics;technical_efficiency;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1040008;Panzertruppenschule Bergen;T1040008;2;1930;1970;mechanics;training;BLITZKRIEG_TACTICS;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1040009;Werftanlagen Bergen;T1040009;3;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1040010;Befehlshaber der U-Boote in Norwegen;T1040010;2;1930;1970;naval_engineering;naval_artillery;submarine_tactics;rt_user_10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1040012;Befehlshaber Norwegen;T1035012;2;1930;1970;small_unit_tactics;decentralized_execution;training;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1040013;Admiral Norwegen;T1035013;2;1930;1970;decentralized_execution;rt_user_9;rt_user_16;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1040014;Luftkommando Norwegen;T1035014;2;1930;1970;rt_user_5;rt_user_6;training;rt_user_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
