U40;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1015001;Organisation Todt;T1015001;3;1930;1970;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015002;RMfdbO;T1015002;3;1930;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015003;AEG Ostlandwerk Gmbh;T1015003;2;1930;1970;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015004;Ost-Wachzüge;T1015004;2;1930;1970;general_equipment;rt_user_17;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015005;Baltische Ersatz-Kompanie;T1015005;2;1930;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015006;Rheinmetall Ostlandwerk;T1015006;2;1930;1970;artillery;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015007;Elektrotechnische Fabrik Ostland;T1015007;3;1930;1970;aeronautics;mechanics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015008;Flugzeugwerke Ostland;T1015008;2;1930;1970;aeronautics;technical_efficiency;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015009;Waggonfabrik Ostland;T1015009;1;1930;1970;industrial_engineering;mechanics;technical_efficiency;artillery;RT_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015010;Ostwerft Riga;T1015010;2;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015011;Universität Riga;T1015011;1;1930;1970;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015012;Zentralbank Ostland;T1015012;2;1930;1970;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015013;Befehlshaber Ostland;T1015013;2;1930;1970;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015014;Admiral Ostland;T1015014;2;1930;1970;decentralized_execution;rt_user_9;rt_user_16;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015015;Luftkommando Ostland;T1015015;3;1930;1970;rt_user_5;rt_user_6;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
