U62;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1125001;Organisation Todt         ;T1015001;3;1930;1970;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1125002;RMfdbO                    ;T1015002;3;1930;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1125003;Grozny Petroleum-Raffinerie;T1125003;3;1930;1970;chemistry;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1125004;Novorossijsk Werftbetriebe ;T1125004;2;1930;1970;naval_engineering;naval_artillery;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1125005;Tuapse Arsenal             ;T1125005;3;1930;1970;general_equipment;mechanics;training;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1125006;Yekaterinodar Motorenwerke ;T1125006;2;1930;1970;general_equipment;rt_user_18;training;artillery;rt_user_17;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1125007;Tuapse Flugzeugwerft       ;T1125007;4;1930;1970;aeronautics;technical_efficiency;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1125008;Kosaken-Reitschule         ;T1125008;4;1930;1970;combined_arms_focus;artillery;general_equipment;training;BLITZKRIEG_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1125009;Deutsch-Kosakische-Mission ;T1125009;2;1930;1970;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1125010;Yekaterinodar Kriegsschule;T1125010;2;1930;1970;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1125011;Marineakademie Novorosijsk;T1125011;2;1930;1970;decentralized_execution;rt_user_9;rt_user_16;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1125012;Fliegerschule Novorosijsk ;T1125012;2;1930;1970;rt_user_5;rt_user_6;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
