U41;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1020001;Organisation Todt;T1015001;3;1930;1970;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020002;RMfdbO;T1015002;3;1930;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020003;Feldersatz-Division;T1020003;2;1930;1970;general_equipment;rt_user_17;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020004;Ukrainische Hilfspolizei;T1020004;1;1930;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020005;Geschützdreherei Kiew;T1020005;3;1930;1970;artillery;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020006;Flugzeugwerke Kiew;T1020006;2;1930;1970;aeronautics;technical_efficiency;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020007;SS-Panzerwerk Kharkov;T1020007;4;1930;1970;industrial_engineering;mechanics;technical_efficiency;artillery;RT_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020008;Theoderichswerft;T1020008;2;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020009;Ukrainische Freie Universität;T1020009;1;1930;1970;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020010;Zentralbank Ukraine;T1020010;2;1930;1970;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020011;Befehlshaber Ukraine;T1020011;2;1930;1970;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020012;Admiral Schwarzes Meer;T1020012;2;1930;1970;decentralized_execution;rt_user_9;rt_user_16;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020013;Luftkommando Ukraine;T1020013;2;1930;1970;rt_user_5;rt_user_6;training;rt_user_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
