U43;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1030001;Organisation Todt;T1015001;3;1930;1970;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030002;RMfdbO;T1015002;3;1930;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030003;Russische Division;T1030003;3;1930;1970;general_equipment;rt_user_17;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030004;Wolga Maschinenfabrik;T1030004;2;1930;1970;industrial_engineering;mechanics;technical_efficiency;artillery;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030005;Eisenwerke Sormovo;T1030005;2;1930;1970;mechanics;chemistry;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1030006;Petersburger Ostwerft;T1030006;1;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030007;Flugzeugwerke Smolensk;T1030007;3;1930;1970;aeronautics;technical_efficiency;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030008;Zentralbank Moskowien;T1030008;1;1930;1970;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030009;Zentraluniversität Moskowien;T1030009;2;1930;1970;mathematics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030011;Befehlshaber Moskowien;T1030011;2;1930;1970;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030012;Admiral Finnische Bucht;T1030012;2;1930;1970;decentralized_execution;rt_user_9;rt_user_16;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030013;Luftkommando Moskowien;T1030013;2;1930;1970;rt_user_5;rt_user_6;training;rt_user_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
