U63;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1130001;Organisation Todt         ;T1015001;3;1930;1970;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1130002;RMfdbO                    ;T1015002;3;1930;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1130003;Kalmückische Reiterschule    ;T1130003;4;1930;1970;general_equipment;training;artillery;rt_user_17;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1130004;Arsenal Elista               ;T1130004;3;1930;1970;general_equipment;mechanics;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1130005;Ostbetriebe Elista           ;T1130005;3;1930;1970;chemistry;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1130006;Flugzeugwerft Astrachan      ;T1130006;2;1930;1970;aeronautics;technical_efficiency;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1130007;Heereszeugamt der Wehrmacht  ;T1130007;3;1930;1970;artillery;mechanics;training;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1130008;Universität Elista           ;T1130008;2;1930;1970;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1130009;Kalmücken-Werft              ;T1130009;2;1930;1970;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1130010;Kalmückische Kavalleriekorps ;T1130010;4;1930;1970;small_unit_tactics;decentralized_execution;training;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1130011;Kalmückische Fliegerschule   ;T1130011;2;1930;1970;rt_user_5;rt_user_6;rt_user_3;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1130012;Marineakademie Astrachan     ;T1130012;2;1930;1970;decentralized_execution;rt_user_9;rt_user_16;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
