AFG;HQ;1st Afghanestani Army
AFG;HQ;2nd Afghanestani Army
AFG;HQ;3rd Afghanestani Army
AFG;HQ;4th Afghanestani Army
AFG;HQ;5th Afghanestani Army
AFG;HQ;6th Afghanestani Army
AFG;Inf;Faizabad Division
AFG;Inf;Ghazni Division
AFG;Inf;Herat Division
AFG;Inf;Jalalabad Division
AFG;Inf;Kandahar Division
AFG;Inf;Maymeneh Division
AFG;Inf;Mazar-i-Sharif Division
AFG;Inf;Zahir Shah Division
AFG;Inf;Abdur Rahman Division
AFG;Inf;Nadir Shah Division
AFG;Inf;Dost Mohammed Division
AFG;Inf;Shah Shuja Division
AFG;Inf;Taloqan Division
AFG;Inf;Qondoz Division
AFG;Inf;Kholm Division
AFG;Inf;Aybak Division
AFG;Inf;Sheberghan Division
AFG;Inf;Balkh Division
AFG;Inf;Meymaneh Division
AFG;Inf;Dawlatabad Division
AFG;Inf;Tarin Kowt Division
AFG;Inf;Dalat Division
AFG;Inf;Khash Division
AFG;Inf;Lashkar Gan Division
AFG;Inf;Mirabad Division
AFG;42;Faizabad Division
AFG;42;Ghazni Division
AFG;42;Herat Division
AFG;42;Jalalabad Division
AFG;42;Kandahar Division
AFG;42;Maymeneh Division
AFG;42;Mazar-i-Sharif Division
AFG;42;Zahir Shah Division
AFG;42;Abdur Rahman Division
AFG;42;Nadir Shah Division
AFG;42;Dost Mohammed Division
AFG;42;Shah Shuja Division
AFG;42;Taloqan Division
AFG;42;Qondoz Division
AFG;42;Kholm Division
AFG;42;Aybak Division
AFG;42;Sheberghan Division
AFG;42;Balkh Division
AFG;42;Meymaneh Division
AFG;42;Dawlatabad Division
AFG;42;Tarin Kowt Division
AFG;42;Dalat Division
AFG;42;Khash Division
AFG;42;Lashkar Gan Division
AFG;42;Mirabad Division
AFG;Cav;Faizabad Cavalry
AFG;Cav;Ghazni Cavalry
AFG;Cav;Herat Cavalry
AFG;Cav;Jalalabad Cavalry
AFG;Cav;Kandahar Cavalry
AFG;Cav;Maymeneh Cavalry
AFG;Cav;Mazar-i-Sharif Cavalry
AFG;Cav;Zahir Shah Cavalry
AFG;Cav;Abdur Rahman Cavalry
AFG;Cav;Nadir Shah Cavalry
AFG;GAR;Faizabad Division
AFG;GAR;Ghazni Division
AFG;GAR;Herat Division
AFG;GAR;Jalalabad Division
AFG;GAR;Kandahar Division
AFG;GAR;Maymeneh Division
AFG;GAR;Mazar-i-Sharif Division
AFG;GAR;Zahir Shah Division
AFG;GAR;Abdur Rahman Division
AFG;GAR;Nadir Shah Division
AFG;GAR;Dost Mohammed Division
AFG;GAR;Shah Shuja Division
AFG;GAR;Taloqan Division
AFG;GAR;Qondoz Division
AFG;GAR;Kholm Division
AFG;GAR;Aybak Division
AFG;GAR;Sheberghan Division
AFG;GAR;Balkh Division
AFG;GAR;Meymaneh Division
AFG;GAR;Dawlatabad Division
AFG;GAR;Tarin Kowt Division
AFG;GAR;Dalat Division
