ALB;I. Shqip Flote
ALB;II. Shqip Flote
ALB;III. Shqip Flote
ALB;IV. Shqip Flote
ALB;V. Shqip Flote
ALB;VI. Shqip Flote
ALB;VII. Shqip Flote
ALB;VIII. Shqip Flote
ALB;IX. Shqip Flote
ALB;X. Shqip Flote
ALB;XI. Shqip Flote
ALB;XII. Shqip Flote
ALB;XIII. Shqip Flote
ALB;XIV. Shqip Flote
ALB;XV. Shqip Flote
ALB;XVI. Shqip Flote
ALB;XVII. Shqip Flote
ALB;XVIII. Shqip Flote
ALB;XIX. Shqip Flote
ALB;XX. Shqip Flote
ALG;I. Flotte de Al Jaza'ir
ALG;II. Flotte de Al Jaza'ir
ALG;III. Flotte de Al Jaza'ir
ALG;IV. Flotte de Al Jaza'ir
ALG;V. Flotte de Al Jaza'ir
ALG;VI. Flotte de Al Jaza'ir
ALG;VII. Flotte de Al Jaza'ir
ALG;VIII. Flotte de Al Jaza'ir
ALG;IX. Flotte de Al Jaza'ir
ALG;X. Flotte de Al Jaza'ir
ALG;XI. Flotte de Al Jaza'ir
ALG;XII. Flotte de Al Jaza'ir
ALG;XIII. Flotte de Al Jaza'ir
ALG;XIV. Flotte de Al Jaza'ir
ALG;XV.  Flotte de Al Jaza'ir
ALG;XVI. Flotte de Al Jaza'ir
ALG;XVII. Flotte de Al Jaza'ir
ALG;XVIII. Flotte de Al Jaza'ir
ALG;XIX. Flotte de Al Jaza'ir
ALG;XX. Flotte de Al Jaza'ir
ALG;XXI. Flotte de Al Jaza'ir
ALG;XXII. Flotte de Al Jaza'ir
ALG;XXIII. Flotte de Al Jaza'ir
ALG;XXIV. Flotte de Al Jaza'ir
ALG;XXV. Flotte de Al Jaza'ir
ALG;XXVI. Flotte de Al Jaza'ir
ALG;XXVII. Flotte de Al Jaza'ir
ALG;XXVIII. Flotte de Al Jaza'ir
ALG;XXIX. Flotte de Al Jaza'ir
ALG;XXX. Flotte de Al Jaza'ir
ANG;I Flotilla do Angola
ANG;II Flotilla do Angola
ANG;III Flotilla do Angola
ANG;IV Flotilla do Angola
ANG;V Flotilla do Angola
ANG;VI Flotilla do Angola
ANG;VII Flotilla do Angola
ANG;VIII Flotilla do Angola
ANG;IX Flotilla do Angola
ANG;X Flotilla do Angola
ANG;XI Flotilla do Angola
ANG;XII Flotilla do Angola
ANG;XIII Flotilla do Angola
ANG;XIV Flotilla do Angola
ANG;XV Flotilla do Angola
ANG;XXI Flotilla do Angola
ANG;XXII Flotilla do Angola
ANG;XXIII Flotilla do Angola
ANG;XXIV Flotilla do Angola
ANG;XXV Flotilla do Angola
ANG;XXX Flotilla do Angola
ANG;XXXIII Flotilla do Angola
ANG;XVI Flotilla do Angola
ANG;XVII Flotilla do Angola
ANG;XVIII Flotilla do Angola
ANG;XIX Flotilla do Angola
ANG;XX Flotilla do Angola
ANG;XXI Flotilla do Angola
ANG;XXII Flotilla do Angola
ANG;XXIII Flotilla do Angola
ANG;XXIV Flotilla do Angola
ANG;XXV Flotilla do Angola
ANG;XXVI Flotilla do Angola
ANG;XXVII Flotilla do Angola
ANG;XXVIII Flotilla do Angola
ANG;XXIX Flotilla do Angola
ANG;XXX Flotilla do Angola
ARA;I Arab Flotilla
ARA;II Arab Flotilla
ARA;III Arab Flotilla
ARA;IV Arab Flotilla
ARA;V Arab Flotilla
ARA;VI Arab Flotilla
ARA;VII Arab Flotilla
ARA;VIII Arab Flotilla
ARA;IX Arab Flotilla
ARA;X Arab Flotilla
ARA;XI Arab Flotilla
ARA;XII Arab Flotilla
ARA;XIII Arab Flotilla
ARA;XIV Arab Flotilla
ARA;XV Arab Flotilla
ARA;XXI Arab Flotilla
ARA;XXII Arab Flotilla
ARA;XXIII Arab Flotilla
ARA;XXIV Arab Flotilla
ARA;XXV Arab Flotilla
ARA;XXVI Arab Flotilla
ARA;XXVII Arab Flotilla
ARA;XXVIII Arab Flotilla
ARA;XXIX Arab Flotilla
ARA;XXX Arab Flotilla
ARA;XXXI Arab Flotilla
ARA;XXXII Arab Flotilla
ARA;XXXIII Arab Flotilla
ARA;XXXIV Arab Flotilla
ARA;XXXV Arab Flotilla
ARA;XXXVI Arab Flotilla
ARA;XXXVII Arab Flotilla
ARA;XXXVIII Arab Flotilla
ARA;XXXIX Arab Flotilla
ARA;XL Arab Flotilla
ARA;XLI Arab Flotilla
ARA;XLII Arab Flotilla
ARA;XLIII Arab Flotilla
ARA;XLIV Arab Flotilla
ARA;XLV Arab Flotilla
ARA;XLVI Arab Flotilla
ARA;XLVII Arab Flotilla
ARA;XLVIII Arab Flotilla
ARA;XLIX Arab Flotilla
ARA;L Arab Flotilla
ARA;LI Arab Flotilla
ARA;LII Arab Flotilla
ARA;LIII Arab Flotilla
ARA;LIV Arab Flotilla
ARA;LV Arab Flotilla
ARA;LVI Arab Flotilla
ARA;LVII Arab Flotilla
ARA;LVIII Arab Flotilla
ARA;LIX Arab Flotilla
ARA;LX Arab Flotilla
ARA;LXI Arab Flotilla
ARA;LXII Arab Flotilla
ARA;LXIII Arab Flotilla
ARA;LXIV Arab Flotilla
ARA;LXV Arab Flotilla
ARA;LXVI Arab Flotilla
ARA;LXVII Arab Flotilla
ARA;LXVIII Arab Flotilla
ARA;LXIX Arab Flotilla
ARA;LXX Arab Flotilla
ARG;I Flotilla de la Armada
ARG;II Flotilla de la Armada
ARG;III Flotilla de la Armada
ARG;IV Flotilla de la Armada
ARG;V Flotilla de la Armada
ARG;VI Flotilla de la Armada
ARG;VII Flotilla de la Armada
ARG;VIII Flotilla de la Armada
ARG;IX Flotilla de la Armada
ARG;X Flotilla de la Armada
ARG;XI Flotilla de la Armada
ARG;XII Flotilla de la Armada
ARG;XIII Flotilla de la Armada
ARG;XIV Flotilla de la Armada
ARG;XV Flotilla de la Armada
ARG;XXI Flotilla de la Armada
ARG;XXII Flotilla de la Armada
ARG;XXIII Flotilla de la Armada
ARG;XXIV Flotilla de la Armada
ARG;XXV Flotilla de la Armada
ARG;XXX Flotilla de la Armada
