U01;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
810001;Head of State;Miguel Cabanellas Ferrer;36;FA;Resigned Generalissimo;High;M10001;x
810002;Head of Government;Fidel Dávila Arrondo;36;FA;Political Protege;High;M10002;x
810003;Foreign Minister;Francisco de Asís Serrat y Bonastre;36;FA;Ideological Crusader;High;M10003;x
810004;Minister of Armament;Gérman Gil y Yuste;36;FA;Infantry Proponent;High;M10004;x
810005;Minister of Security;Miguel Ponte Mansó de Zúñiga;36;PA;Crime Fighter;High;M10005;x
810006;Head of Military Intelligence;Angel Salas Larrázabal;36;FA;Political Specialist;High;M10006;x
810007;Chief of Staff;Fidel Dávila Arrondo;36;FA;School of Psychology;High;M10002;x
810008;Chief of Army;Emilio Mola Vidal;36;FA;Decisive Battle Doctrine;Very High;M10008;x
810009;Chief of Navy;Francisco Moreno Fernández;36;FA;Open Seas Doctrine;High;M10009;x
810010;Chief of Air Force;Alfredo Kindelán Duany;36;PA;Carpet Bombing Doctrine;High;M10010;x
810032;Head of State;Francisco Franco Bahamonde;36;PA;Stern Imperialist;High;L3426;x
810034;Head of State;Javier de Borbón-Parma;36;FA;Autocratic Charmer;High;M10034;x
810038;Head of State;Juan III;41;SC;Benevolent Gentleman;High;M10011;x
810039;Head of State;Alfonso XIII;36;SC;Insignificant Layman;High;M10039;x
810045;Head of Government;Emilio Mola Vidal;36;PA;Old General;High;M10008;x
810046;Head of Government;Francisco Franco Bahamonde;36;PA;Silent Workhorse;High;L3426;x
810048;Head of Government;Tomás Domínguez Arévalo;37;FA;Happy Amateur;High;M10048;x
810049;Head of Government;Manuel Fal Conde;41;FA;Political Protege;High;M10049;x
810050;Head of Government;Manuel Hedilla Larrey;44;FA;Smiling Oilman;High;M10050;x
810054;Head of Government;J.M. Gil-Robles Quiñones;36;PA;Silent Workhorse;High;M10012;x
810055;Head of Government;Gonzalo Queipo de Llano;36;ML;Old General;High;M10055;x
810031;Head of Government;Miguel Ponte;36;PA;Old General;High;M810031;x
810057;Foreign Minister;Francisco Gómez-Jordana y Souza;36;PA;Biased Intellectual;High;M10057;x
810058;Foreign Minister;Juan Luís Beigbeder Atienza;39;PA;General Staffer;Medium;M10013;x
810059;Foreign Minister;Ramón Serrano Súñer;40;PA;Ideological Crusader;Medium;M10059;x
810060;Foreign Minister;José Lequerica y Erquiza;44;PA;The Cloak N Dagger Schemer;High;M10060;x
810061;Foreign Minister;Alberto M. Artejo-Álvarez;45;PA;Apologetic Clerk;High;M10061;x
810062;Foreign Minister;Tomás, Conde de Redezno;36;FA;Iron Fisted Brute;High;M10048;x
810063;Foreign Minister;Enrique Plá y Deniel;38;FA;Ideological Crusader;Medium;M10063;x
810064;Foreign Minister;Javier de Borbón-Parma;36;FA;General Staffer;High;M10034;x
810066;Foreign Minister;Victor Pradera;43;FA;Ideological Crusader;High;M10066;x
810067;Foreign Minister;Luís Hernando de Larramendi;46;FA;Biased Intellectual;High;M10067;x
810068;Foreign Minister;Manuel Fal Conde;47;FA;The Cloak N Dagger Schemer;High;M10049;x
810071;Foreign Minister;J. de Areilza y Martínez-Rodas;42;FA;Great Compromiser;High;M10071;x
810072;Foreign Minister;José Luís Arrese Magra;39;FA;Iron Fisted Brute;High;M10072;x
810073;Foreign Minister;Manuel Hedilla Larrey;46;FA;Biased Intellectual;High;M10050;x
810074;Foreign Minister;Raimundo Fernández Cuesta;47;FA;The Cloak N Dagger Schemer;High;M10074;x
