U52;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
860001;Head of State;Ba Maw;36;FA;Autocratic Charmer;Very High;M860001;x
860002;Head of State;Thankin Mya;36;FA;Die-hard Reformer;Very High;M860002;x
860003;Head of State;Aung San;36;FA;Resigned Generalissimo;Very High;M860003;x
860004;Head of Government;Ba Maw;36;FA;Political Protege;Very High;M860001;x
860005;Head of Government;Thankin Mya;36;FA;Ambitious Union Boss;Very High;M860002;x
860006;Head of Government;Aung San;36;FA;Old General;Very High;M860003;x
860007;Foreign Minister;Thakin Nu;36;FA;Ideological crusader;Very High;M860007;x
860008;Foreign Minister;Tun Aung M.;36;FA;The Cloak N Dagger Schemer;Very High;M860008;x
860009;Minister of Armament;Aung San;36;FA;Administrative Genius;Very High;M860003;x
860010;Minister of Armament;Thein Maung;36;FA;Corrupt Kleptocrat;Very High;M860010;x
860011;Minister of Armament;Thakin Than Tun;36;FA;laissez-faire capitalist;Very High;M860011;x
860012;Minister of Armament;U Mya;36;FA;Corrupt Kleptocrat;Very High;M860012;x
860013;Minister of Armament;Win Maung;36;FA;Military Entrepreneur;Very High;M860013;x
860014;Minister of Security;Thein Maung;36;FA;Silent Lawyer;Very High;M860010;x
860015;Minister of Security;Kyaw Nyein;36;FA;Back Stabber;Very High;M860015;x
860016;Minister of Security;Ba Gyan;36;FA;Man of the People;Very High;M860016;x
860017;Head of Military Intelligence;Aung San;36;FA;Logistics Specialist;Very High;M860003;x
860018;Chief of Staff;Aung San;36;FA;School of Psychology;Very High;M860003;x
860019;Chief of Staff;Bo Ne Win;36;FA;School of Defence;Very High;M860019;x
860020;Chief of Staff;Bo Let Ya;36;FA;School of Defence;Very High;M860020;x
860022;Chief of Army;Bo Ne Win;36;FA;Decisive Battle Doctrine;Very High;M860019;x
860021;Chief of Army;Aung San;36;FA;Static Defence Doctrine;Very High;M860003;x
860023;Chief of Army;Kyaw Zaw;36;FA;Static Defence Doctrine;Very High;M860023;x
860024;Chief of Army;Bohmu Aung;36;FA;Decisive Battle Doctrine;Very High;M860024;x
860025;Chief of Army;Thakin Tin Mya;36;FA;Guns and Butter Doctrine;Very High;M860025;x
860026;Chief of Navy;Aung San;36;FA;Open Seas Doctrine;Very High;M860003;x
860027;Chief of Navy;Bo Ne Win;36;FA;Open Seas Doctrine;Very High;M860019;x
860028;Chief of Navy;Win Maung;36;FA;Base Control Doctrine;Very High;M860013;x
860029;Chief of Air Force;Aung San;36;FA;Air Superiority Doctrine;Very High;M860003;x
860030;Chief of Air Force;Bo Ne Win;36;FA;Air Superiority Doctrine;Very High;M860019;x
860031;Chief of Air Force;Win Maung;36;FA;Air Superiority Doctrine;Very High;M860013;x
