U04;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
845001;Head of State;Arthur Greiser;1934;NS;Powerhungry Demagogue;Very High;3388;X
845002;Head of Government;Arthur Greiser;1934;NS;Silent Workhorse;Very High;3388;X
845003;Foreign Minister;Arthur Greiser;1934;NS;Biased Intellectual;Very High;3388;X
845004;Minister of Armament;Julius Hoppenrath;1934;FA;Laissez-Faire Capitalist;High;3389;X
845005;Minister of Security;Willibald Wiercinski-Keiser;1933;SC;Silent Lawyer;High;3390;X
845006;Head of Military Intelligence;Arthur Greiser;1934;NS;Dismal Enigma;High;3388;X
845007;Chief of Staff;Arthur Greiser;1934;NS;School of Manoeuvre;High;3388;X
845008;Chief of Army;Arthur Greiser;1934;NS;Elastic Defence Doctrine;High;3388;X
845009;Chief of Navy;Johan A. Nederbragt;1934;SC;Coastal Defense Doctrine;High;3391;X
845010;Chief of Air Force;Arthur Greiser;1934;NS;Aerial Warfare Doctrine;High;3388;X
845011;Head of State;Albert Forster;1939;NS;Powerhungry Demagogue;Very High;3392;X
845012;Head of Government;Albert Forster;1939;NS;Silent Workhorse;Very High;3392;X
845013;Foreign Minister;Albert Forster;1939;NS;Biased Intellectual;Very High;3392;X
845014;Minister of Armament;Helmut Froböß;1939;FA;Laissez-Faire Capitalist;High;3393;X
845016;Head of Military Intelligence;Helmut Froböß;1939;NS;Dismal Enigma;High;3393;X
845017;Chief of Staff;Helmut Froböß;1939;NS;School of Manoeuvre;High;3393;X
845018;Chief of Army;Helmut Froböß;1939;NS;Elastic Defence Doctrine;High;3393;X
845019;Chief of Navy;Helmut Froböß;1939;NS;Coastal Defense Doctrine;High;3393;X
845020;Chief of Air Force;Helmut Froböß;1939;NS;Aerial Warfare Doctrine;High;3393;X
