U63;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
1130001;Head of State;Adolf Hitler;36;NS;Powerhungry Demagogue;High;M1;x
1130002;Head of State;Alfred Rosenberg;36;NS;Ruthless Powermonger;High;M1015002;x
1130020;Head of Government;Prince Tundotow;36;NS;Backroom Backstabber;High;M1130003;x
1130004;Head of Government;Samba Balinov;36;NS;Backroom Backstabber;High;M1130004;x
1130005;Head of Government;Othmar Rudolf Werba;36;NS;Old General;High;M1130005;x
1130006;Head of State;Nikolay Skvortsov;36;NS;Die-hard Reformer;High;M520001;x
1130007;Head of Government;Zhumabay Shayakmetov;36;NS;Silent Workhorse;High;M520002;x
1130008;Foreign Minister;Levon Mirzoyan;36;NS;The Cloak N Dagger Schemer;High;M520003;x
1130009;Minister of Armament;Azilkhan Nurshaykov;36;NS;Air to Ground Proponent;Medium;M520004;x
1130010;Minister of Security;Sherkan Murtaza;36;NS;Crime Fighter;Medium;M520005;x
1130011;Head of Military Intelligence;Sholpan Zhandarbekova;36;NS;Dismal Enigma;Medium;M520006;x
1130012;Chief of Staff;Prince Tundotow;36;NS;School of Defence;High;M1130003;x
1130013;Chief of Staff;Othmar Rudolf Werba;36;NS;School of Defence;High;M1130005;x
1130014;Chief of Staff;Ivan Susaikov;36;NS;School of Manoeuvre;Medium;M520007;x
1130016;Chief of Army;Othmar Rudolf Werba;36;NS;Guns and Butter Doctrine;High;M1130005;x
1130015;Chief of Army;Prince Tundotow;36;NS;Guns and Butter Doctrine;High;M1130003;x
1130017;Chief of Army;Talgat Bigeldinov;36;NS;Decisive Battle Doctrine;Medium;M520008;x
1130018;Chief of Navy;Ivan Sergeev;36;NS;Decisive Naval Battle Doctrine;Medium;M520009;x
1130019;Chief of Air Force;Arbuz Khan Arsen;36;NS;Vertical Envelopment Doctrine;Medium;M520010;x
