U46;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1045001;Head of State;Adolf Hitler;36;NS;Powerhungry Demagogue;High;M1;x
1045002;Head of State;Alfred Rosenberg;36;NS;Ruthless Powermonger;High;M1015002;x
1045003;Head of Government;Arthur Seyß-Inquart;36;NS;Backroom Backstabber;High;M1045003;x
1045004;Head of Government;Anton Mussert;36;NS;Naive Optimist;Medium;M1045004;x
1045005;Head of Government;Fritz Schmidt;36;NS;Naive Optimist;Medium;M1045005;x
1045006;Foreign Minister;Arthur Seyß-Inquart;36;NS;Ideological Crusader;High;M1045003;x
1045007;Minister of Armament;Hans Fischböck;36;NS;Resource Industrialist 2;High;M1045007;x
1045008;Minister of Armament;Friedrich Wimmer;36;NS;Administrative Genius 2;High;M1045008;x
1045009;Minister of Security;Friedrich Wimmer;36;NS;Back Stabber;Medium;M1045008;x
1045010;Minister of Security;Hanns Albin Rauter;36;NS;Crooked Kleptocrat;Medium;M1045010;x
1045011;Head of Military Intelligence;Hanns Albin Rauter;36;NS;Political Specialist;Medium;M1045010;x
1045012;Head of Military Intelligence;Wilhelm Harster;36;NS;Political Specialist;Medium;M1045012;x
1045013;Head of Military Intelligence;Erich Naumann;36;NS;Political Specialist;Medium;M1045013;x
1045014;Head of Military Intelligence;Karl Eberhard Schöngarth;36;NS;Political Specialist;Medium;M1045014;x
1045015;Chief of Staff;Friedrich Christiansen;36;NS;School of Defence;High;L615;x
1045016;Chief of Staff;Kurt Student;36;NS;School of Psychology;High;L260;x
1045017;Chief of Staff;Johannes Blaskowitz;36;NS;School of Defence;High;L20;x
1045018;Chief of Staff;Ernst Busch;36;NS;School of Defence;High;L33;x
1045019;Chief of Army;Friedrich Christiansen;36;NS;Static Defence Doctrine;High;L615;x
1045020;Chief of Army;Kurt Student;36;NS;Guns and Butter Doctrine;High;L260;x
1045021;Chief of Army;Johannes Blaskowitz;36;NS;Static Defence Doctrine;High;L20;x
1045022;Chief of Army;Ernst Busch;36;NS;Static Defence Doctrine;High;L33;x
1045023;Chief of Navy;Helmuth Kienast;36;NS;Decisive Naval Battle Doctrine;High;L397;x
1045024;Chief of Navy;Kurt Caesar Hoffmann;36;NS;Open Seas Doctrine;High;L396;x
1045025;Chief of Navy;Gustav Kleikamp;36;NS;Decisive Naval Battle Doctrine;High;L399;x
1045026;Chief of Navy;Rudolf Stange;36;NS;Indirect Approach Doctrine;High;L418;x
1045027;Chief of Air Force;Walter Grabmann;36;NS;Air Superiority Doctrine;High;M1045027;x
1045028;Chief of Air Force;Hugo Sperrle;36;NS;Carpet Bombing Doctrine;High;M203;x
1045029;Chief of Air Force;Otto Dessloch;36;NS;Army Aviation Doctrine;High;L434;x
1045030;Chief of Air Force;Alexander Holle;36;NS;Army Aviation Doctrine;High;L624;x
