U43;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1030001;Head of State;Adolf Hitler;36;NS;Powerhungry Demagogue;High;M1;x
1030002;Head of State;Alfred Rosenberg;36;NS;Ruthless Powermonger;High;M1015002;x
1030003;Head of Government;Siegfried Kasche;36;NS;Backroom Backstabber;High;M1030003;x
1030004;Head of Government;Bronislaw W. Kaminski;36;NS;Naive Optimist;High;M1030004;x
1030005;Foreign Minister;Siegfried Kasche;36;NS;Ideological Crusader;High;M1030003;x
1030006;Foreign Minister;Lew A. Rahr;36;NS;Ideological Crusader;High;M1030006;x
1030007;Foreign Minister;Jurij A. Treguboff;36;NS;Ideological Crusader;High;M1030007;x
1030008;Minister of Armament;Wilhelm von Allwörden;36;NS;Resource Industrialist 2;High;M1030008;x
1030009;Minister of Armament;Bronislaw W. Kaminski;36;NS;Administrative Genius 2;High;M1030004;x
1030010;Minister of Security;Erich v. d. Bach-Zalewski;36;NS;Crooked Kleptocrat;Medium;M1030010;x
1030011;Minister of Security;Lew A. Rahr;36;NS;Back Stabber;Medium;M1030006;x
1030012;Minister of Security;Fedir Bohatyrtschuk;36;NS;Back Stabber;Medium;M1030012;x
1030013;Minister of Security;Jurij A. Treguboff;36;NS;Back Stabber;Medium;M1030007;x
1030014;Head of Military Intelligence;Erich v. d. Bach-Zalewski;36;NS;Political Specialist;Medium;M1030010;x
1030015;Head of Military Intelligence;Fedir Bohatyrtschuk;36;NS;Political Specialist;Medium;M1030012;x
1030016;Head of Military Intelligence;Konstantin G. Kromiadi;36;NS;Political Specialist;Medium;M1030016;x
1030017;Head of Military Intelligence;Igor K. Sacharow;36;NS;Political Specialist;Medium;M1030017;x
1030018;Chief of Staff;Max von Schenkendorff;36;NS;School of Defence;High;M1030018;x
1030019;Chief of Staff;Ludwig Kübler;36;NS;School of Defence;High;L176;x
1030020;Chief of Staff;Edwin v. Rothkirch u. Trach;36;NS;School of Defence;High;L621;x
1030021;Chief of Staff;Andrei A. Wlassow;36;NS;School of Mass Combat;High;L579;x
1030022;Chief of Staff;Sergei K. Bunjatschenko;36;NS;School of Manoeuvre;High;M1030022;x
1030023;Chief of Staff;Bronislaw W. Kaminski;36;NS;School of Manoeuvre;High;M1030004;x
1030024;Chief of Army;Max von Schenkendorff;36;NS;Static Defence Doctrine;High;M1030018;x
1030025;Chief of Army;Ludwig Kübler;36;NS;Static Defence Doctrine;High;L176;x
1030026;Chief of Army;Edwin v. Rothkirch u. Trach;36;NS;Static Defence Doctrine;High;L621;x
1030027;Chief of Army;Andrei A. Wlassow;36;NS;Static Defence Doctrine;High;L579;x
1030028;Chief of Army;Sergei K. Bunjatschenko;36;NS;Static Defence Doctrine;High;M1030022;x
1030029;Chief of Army;Bronislaw W. Kaminski;36;NS;Static Defence Doctrine;High;M1030004;x
1030030;Chief of Army;Igor K. Sacharow;36;NS;Static Defence Doctrine;High;M1030017;x
1030031;Chief of Navy;Otto Schenk;36;NS;Indirect Approach Doctrine;High;M1030031;x
1030032;Chief of Navy;Heinz Nordmann;36;NS;Indirect Approach Doctrine;High;L870;x
1030033;Chief of Navy;Bruno Machens;36;NS;Indirect Approach Doctrine;High;L864;x
1030034;Chief of Air Force;Robert von Greim;36;NS;Air Superiority Doctrine;High;L475;x
