U06;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
855001;Head of State;José P. Laurel;36;FA;Insignificant Layman;Very High;M855001;x
855002;Head of Government;Benigno S. Aquino;36;FA;Happy Amateur;Very High;M855002;x
855003;Foreign Minister;Claro M. Recto;36;FA;The Cloak N Dagger Schemer;Very High;M855003;x
855004;Minister of Armament;Antonio de las Alas;36;FA;Battle Fleet Proponent;Very High;M855004;x
855005;Minister of Armament;Rafael Alunan;36;FA;Resource Industrialist;Very High;M855005;x
855006;Minister of Security;Teofilo Sison;36;FA;Back Stabber;Very High;M855006;x
855007;Head of Military Intelligence;Teofilo Sison;36;FA;Logistics Specialist;Very High;M855006;x
855008;Chief of Staff;Masaharu Homma;36;FA;School of Defence;Very High;M855008;x
855009;Chief of Staff;Shizuichi Tanaka;36;FA;School of Defence;Very High;M855009;x
855010;Chief of Staff;Shigenori Kuroda;36;FA;School of Psychology;Very High;M855010;x
855011;Chief of Staff;Tomoyuki Yamashita;36;FA;School of Defence;Very High;M855011;x
855012;Chief of Army;Masaharu Homma;36;FA;Static Defence Doctrine;Very High;M855008;x
855013;Chief of Army;Shizuichi Tanaka;36;FA;Static Defence Doctrine;Very High;M855009;x
855014;Chief of Army;Shigenori Kuroda;36;FA;Decisive Battle Doctrine;Very High;M855010;x
855015;Chief of Army;Tomoyuki Yamashita;36;FA;Static Defence Doctrine;Very High;M855011;x
855016;Chief of Navy;Rokuzo Sugiyama;36;FA;Base Control Doctrine;Very High;M855016;x
855017;Chief of Navy;Taiji Ota;36;FA;Open Seas Doctrine;Very High;M855017;x
855018;Chief of Navy;Arata Oka;36;FA;Open Seas Doctrine;Very High;M855018;x
855019;Chief of Navy;Gun'ichi Mikawa;36;FA;Base Control Doctrine;Very High;M855019;x
855020;Chief of Navy;Denshichi Okawachi;36;FA;Open Seas Doctrine;Very High;M855020;x
855021;Chief of Air Force;Shigeru Fukudome;36;FA;Naval Aviation Doctrine;Very High;M855021;x
855022;Chief of Air Force;Shiro Takasu;36;FA;Air Superiority Doctrine;Very High;M855022;x
855023;Chief of Air Force;Gun'ichi Mikawa;36;FA;Army Aviation Doctrine;Very High;M855023;x
855024;Chief of Air Force;Denshichi Okawachi;36;FA;Naval Aviation Doctrine;Very High;M855024;x
855025;Chief of Air Force;Shigeru Fukudome;36;FA;Naval Aviation Doctrine;Very High;M855025;x
