U39;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;X
1010001;Head of State;Tayfur Sökmen;36;ML;Benevolent Gentleman;Very High;M7930;X
1010002;Head of Government;Abdurrahman Melek;36;ML;Silent Workhorse;Very High;M7929;X
1010003;Foreign Minister;Tayfur Sökmen;36;ML;Ideological Crusader;Very High;M7930;X
1010004;Minister of Armament;Abdurrahman Melek;36;ML;Infantry Proponent;Very High;M7929;X
1010005;Minister of Security;Abdurrahman Melek;36;ML;Prince of Terror;Very High;M7929;X
1010006;Head of Military Intelligence;Abdurrahman Melek;36;ML;Political Specialist;Very High;M7929;X
1010007;Chief of Staff;Abdurrahman Melek;36;ML;School of Psychology;Very High;M7929;X
1010008;Chief of Army;Abdurrahman Melek;36;ML;Decisive Battle Doctrine;Very High;M7929;X
1010009;Chief of Navy;Abdurrahman Melek;36;ML;Indirect Approach Doctrine;Very High;M7929;X
1010010;Chief of Air Force;Abdurrahman Melek;36;ML;Army Aviation Doctrine;Very High;M7929;X
1010011;Head of State;Tayfur Sökmen;36;FA;Benevolent Gentleman;Very High;M7930;X
1010012;Head of Government;Abdurrahman Melek;36;FA;Silent Workhorse;Very High;M7929;X
1010013;Foreign Minister;Tayfur Sökmen;36;FA;Ideological Crusader;Very High;M7930;X
1010014;Minister of Armament;Abdurrahman Melek;36;FA;Infantry Proponent;Very High;M7929;X
1010015;Minister of Security;Abdurrahman Melek;36;FA;Prince of Terror;Very High;M7929;X
1010016;Head of Military Intelligence;Abdurrahman Melek;36;FA;Political Specialist;Very High;M7929;X
1010017;Chief of Staff;Abdurrahman Melek;36;FA;School of Psychology;Very High;M7929;X
1010018;Chief of Army;Abdurrahman Melek;36;FA;Decisive Battle Doctrine;Very High;M7929;X
1010019;Chief of Navy;Abdurrahman Melek;36;FA;Indirect Approach Doctrine;Very High;M7929;X
1010020;Chief of Air Force;Abdurrahman Melek;36;FA;Army Aviation Doctrine;Very High;M7929;X
1010021;Head of State;Tayfur Sökmen;36;LE;Benevolent Gentleman;Very High;M7930;X
1010022;Head of Government;Abdurrahman Melek;36;LE;Silent Workhorse;Very High;M7929;X
1010023;Foreign Minister;Tayfur Sökmen;36;LE;Ideological Crusader;Very High;M7930;X
1010024;Minister of Armament;Abdurrahman Melek;36;LE;Infantry Proponent;Very High;M7929;X
1010025;Minister of Security;Abdurrahman Melek;36;LE;Prince of Terror;Very High;M7929;X
1010026;Head of Military Intelligence;Abdurrahman Melek;36;LE;Political Specialist;Very High;M7929;X
1010027;Chief of Staff;Abdurrahman Melek;36;LE;School of Psychology;Very High;M7929;X
1010028;Chief of Army;Abdurrahman Melek;36;LE;Decisive Battle Doctrine;Very High;M7929;X
1010029;Chief of Navy;Abdurrahman Melek;36;LE;Indirect Approach Doctrine;Very High;M7929;X
1010030;Chief of Air Force;Abdurrahman Melek;36;LE;Army Aviation Doctrine;Very High;M7929;X
