U19;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
611001;Head of State;Wilhelmina;36;ML;Stern Imperialist;High;M8001;x
611002;Head of Government;Alidius Tjarda van Starkenborgh-Stachouwer;36;ML;Naive Optimist;High;M577002;x
611003;Foreign Minister;Hubertus Van Mook;36;ML;Ideological Crusader;High;M577003;x
611049;Minister of Armament;Hendrik Colijn;36;ML;Administrative Genius;Medium;M8002;x´
611005;Minister of Security;Hubertus Van Mook;36;ML;Crime Fighter;High;M577003;x
611006;Head of Military Intelligence;Murk Boerstra;36;SC;Logistics Specialist;Very High;L7802;x
611007;Chief of Staff;Murk Boerstra;36;SC;School of Manoeuvre;Very High;L7802;x
611008;Chief of Army;Gerardus Berenschot;36;SC;Static Defence Doctrine;Very High;L7801;x
611009;Chief of Navy;Conrad Helfrich;36;SC;Indirect Approach Doctrine;Very High;L7839;x
611010;Chief of Air Force;Ludolph van Oyen;36;SC;Army Aviation Doctrine;Very High;L7859;x
611004;Minister of Armament;J. Ramaer;36;SC;Administrative Genius;Medium;no_picture_avail;x
611011;Head of State;Sukarno;36;PA;Weary Stiffneck;Very High;M577011;x
611012;Head of Government;Muhammad Hatta;36;PA;Silent Workhorse;High;M577014;x
611013;Foreign Minister;Muhammad Hatta;36;PA;Biased Intellectual;High;M577014;x
611014;Minister of Armament;Sutan Sjahrir;36;PA;Infantry Proponent;Low;M577019;x
611015;Minister of Security;Radjiman Wediodiningrat;36;PA;Compassionate Gentleman;Medium;no_picture_avail;x
611016;Head of Military Intelligence;Amir Sjarifuddin;36;PA;Political Specialist;Low;M577016;x
611017;Chief of Staff;Besar Sudirman;36;PA;School of Defence;High;M577034;x
611018;Chief of Army;Besar Sudirman;36;PA;Static Defence Doctrine;High;M577034;x
611019;Chief of Navy;Besar Sudirman;36;PA;Open Seas Doctrine;High;M577034;x
611020;Chief of Air Force;Besar Sudirman;36;PA;Army Aviation Doctrine;High;M577034;x
611021;Head of State;Kawan Musso;36;ST;Autocratic Charmer;Very High;M577013;x
611022;Head of Government;Lukman dan Sardjono;36;ST;Ambitious Union Boss;Very High;M577027;x
611023;Foreign Minister;Suryono Suripno;36;ST;Ideological Crusader;High;M577021;x
611024;Minister of Armament;Ruskak;36;LE;Resource Industrialist;High;no_picture_avail;x
611025;Minister of Security;Amir Sjarifuddin;36;LWR;Compassionate Gentleman;Low;M577016;x
611026;Head of Military Intelligence;Amir Sjarifuddin;36;LWR;Political Specialist;Low;M577016;x
611027;Chief of Staff;Tan Malaka;36;LWR;School of Psychology;Low;M577042;x
611028;Chief of Army;Tan Malaka;36;LWR;Decisive Battle Doctrine;Low;M577042;x
611029;Chief of Navy;Tan Malaka;36;LWR;Open Seas Doctrine;Low;M577042;x
611030;Chief of Air Force;Tan Malaka;36;LWR;Army Aviation Doctrine;Low;M577042;x
611031;Head of Government;Sutan Sjahrir;40;LWR;Happy Amateur;High;M577019;x
611032;Head of Government;Amir Sjarifuddin;44;LWR;Naive Optimist;High;M577016;x
611033;Head of Government;Muhammad Thamrin;36;PA;Smiling Oilman;Very High;M577015;x
611034;Head of State;Sjafruddin Prawiranegara;44;SC;Insignificant Layman;High;M577022;x
611035;Head of Government;Hubertus Van Mook;42;SC;Corporate Suit;Medium;M577003;x
611036;Head of Government;Sjafruddin Prawiranegara;44;SC;Political Protege;High;M577022;x
611037;Foreign Minister;Ahmad Subandrio;44;PA;Ideological Crusader;Medium;M577017;x
611038;Foreign Minister;Sutan Sjahrir;45;LWR;The Cloak N Dagger Schemer;Low;M577019;x
611039;Minister of Armament;Sjafruddin Prawiranegara;44;SC;Administrative Genius;Low;M577022;x
611040;Chief of Staff;Amir Sjarifuddin;44;LWR;School of Psychology;Low;M577016;x
611041;Chief of Staff;Gerardus Berenschot;39;PA;School of Manoeuvre;Very High;L7801;x
611042;Chief of Staff;Hein Ter Poorten;41;PA;School of Defence;Very High;L7819;x
611043;Chief of Army;Hein Ter Poorten;39;PA;Static Defence Doctrine;Very High;L7819;x
611044;Chief of Army;Rudolph Bakkers;41;PA;Static Defence Doctrine;Very High;L7800;x
611045;Chief of Army;Johan Uhl;45;PA;Static Defence Doctrine;Very High;no_picture_avail;x
611046;Chief of Navy;Conrad Helfrich;39;PA;Indirect Approach Doctrine;Very High;L7839;x
611047;Chief of Army;Raymond Westerling;46;PA;Decisive Battle Doctrine;Low;M577006;x
611048;Chief of Army;Abdul Harris Nasution;48;PA;Guns and Butter Doctrine;High;M577043;x
