U40;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
1015001;Head of State;Adolf Hitler;36;NS;Powerhungry Demagogue;High;M1;x
1015002;Head of State;Alfred Rosenberg;36;NS;Ruthless Powermonger;High;M1015002;x
1015003;Head of Government;Hinrich Lohse;36;NS;Happy Amateur;High;M1015003;x
1015004;Head of Government;Erich Koch;36;NS;Happy Amateur;High;M1020003;x
1015005;Foreign Minister;Theodor Fründt;36;NS;Ideological Crusader;High;M1015005;x
1015006;Foreign Minister;Günther Pröhl;36;NS;Ideological Crusader;High;M1015006;x
1015007;Minister of Armament;Friedrich Karl Vialon;36;NS;Administrative Genius 2;High;M1015007;x
1015008;Minister of Armament;Martin Matthiessen;36;NS;Resource Industrialist 2;High;M1015008;x
1015032;Minister of Armament;Otto-Heinrich Drechsler;36;NS;Administrative Genius 2;High;M1015032;x
1015033;Minister of Armament;Walter von Medem;36;NS;Resource Industrialist 2;High;M1015033;x
1015009;Minister of Security;Curt von Gottberg;36;NS;Back Stabber;Medium;M1015009;x
1015010;Minister of Security;Friedrich Jeckeln;36;NS;Crooked Kleptocrat;Medium;M1015010;x
1015011;Minister of Security;Hinrich Möller;36;NS;Crooked Kleptocrat;Low;M1015011;x
1015012;Minister of Security;Lucian Wysocki;36;NS;Back Stabber;Low;M1015012;x
1015013;Minister of Security;Walther Schröder;36;NS;Crooked Kleptocrat;Low;M1015013;x
1015014;Head of Military Intelligence;Curt von Gottberg;36;NS;Political Specialist;Medium;M1015009;x
1015015;Head of Military Intelligence;Friedrich Jeckeln;36;NS;Political Specialist;Medium;M1015010;x
1015016;Head of Military Intelligence;Hinrich Möller;36;NS;Political Specialist;Low;M1015011;x
1015017;Head of Military Intelligence;Lucian Wysocki;36;NS;Political Specialist;Low;M1015012;x
1015018;Head of Military Intelligence;Walther Schröder;36;NS;Political Specialist;Low;M1015013;x
1015019;Chief of Staff;Walter Braemer;36;NS;School of Defence;High;L1015001;x
1015020;Chief of Staff;Werner Kempf;36;NS;School of Manoeuvre;High;L155;x
1015021;Chief of Army;Walter Braemer;36;NS;Static Defence Doctrine;High;L1015001;x
1015022;Chief of Army;Werner Kempf;36;NS;Static Defence Doctrine;High;L155;x
1015023;Chief of Navy;Conrad Engelhardt;36;NS;Decisive Naval Battle Doctrine;High;L1015029;x
1015024;Chief of Navy;Theodor Burchardi;36;NS;Open Seas Doctrine;High;L382;x
1015025;Chief of Navy;Rolf Carls;36;NS;Indirect Approach Doctrine;High;L384;x
1015026;Chief of Navy;Günther Guse;36;NS;Base Control Doctrine;High;L393;x
1015027;Chief of Navy;Hubert Schmundt;36;NS;Open Seas Doctrine;High;L1015032;x
1015028;Chief of Navy;Oskar Kummetz;36;NS;Base Control Doctrine;High;L401;x
1015029;Chief of Air Force;Alfred Keller;36;NS;Army Aviation Doctrine;High;L450;x
1015030;Chief of Air Force;Günther Korten;36;NS;Air Superiority Doctrine;High;L644;x
1015031;Chief of Air Force;Kurt Pflugbeil;36;NS;Army Aviation Doctrine;High;L462;x
