U14;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
992031;Head of State;Charles de Gaulle;40;SC;Resigned Generalissimo;High;M2027;x
992046;Head of Government;Charles de Gaulle;40;SC;Old General;High;M2027;x
992054;Foreign Minister;Edouard Daladier;39;SD;Great Compromiser;High;M2037;x
992061;Foreign Minister;René Lucien Massigli;43;SC;The Cloak N Dagger Schemer;High;M2061;x
992082;Minister of Armament;Edouard Herriot;39;ML;laissez-faire capitalist;Medium;M2042;x
992088;Minister of Armament;Robert Schumann;40;ML;Administrative Genius;Medium;M2088;x
992114;Minister of Security;Camille Chautemps;40;SC;Efficient Sociopath;Medium;M2036;x
992133;Head of Military Intelligence;André Marie;40;ML;Technical Specialist;Medium;M2041;x
992134;Head of Military Intelligence;Charles Luizet;40;ML;Technical Specialist;High;M2134;x
992150;Chief of Staff;Charles de Gaulle;40;SC;School of Manoeuvre;High;M2027;x
992158;Chief of Army;Jean-Marie Lattre de Tassigny;40;SC;Armoured Spearhead Doctrine;Medium;M2047;x
992164;Chief of Army;Jean Bertin-Boussus;40;SC;Elastic Defence Doctrine;Medium;M2164;x
992173;Chief of Navy;César Campinchi;40;ML;Indirect Approach Doctrine;Very High;M2173;x
992178;Chief of Navy;Etienne Schlumberger;40;SC;Decisive Naval Battle Doctrine;High;M2174;x
992184;Chief of Air Force;Pierre Cot;40;SD;Army Aviation Doctrine;Very High;M2184;x
992193;Chief of Air Force;Martial Valín;40;SC;Air Superiority Doctrine;Very High;M2185;x
992208;Head of State;Camille Chautemps;40;SL;Popular Figurehead;Very High;M2036;x
992209;Head of Government;Louis-Georges Mandel;40;SL;Backroom Backstabber;Medium;M2108;x
992210;Minister of Security;Yvon Delbos;40;SL;Silent Lawyer;High;M2048;x
992211;Head of State;Henri-Honoré Giraud;40;PA;Weary Stiffneck;Very High;L24084;x
992212;Head of Government;Henri-Honoré Giraud;40;PA;Old General;Very High;L24084;x
992213;Foreign Minister;Charles-Emmanuel Mast;40;PA;General Staffer;High;L24224;x
992214;Minister of Armament;Marie-Pierre Koenig;40;SC;Military Entrepreneur;Very High;L24107;x
9192215;Chief of Staff;Henri-Honoré Giraud;40;PA;School of Fire Support;Very High;M2408400;x
9292216;Foreign Minister;Georges-Augustin Bidault;42;SC;The Cloak N Dagger Schemer;High;M2408401;x
9392217;Minister of Armament;Pierre Mendès France;44;ML;Administrative Genius;High;M2408402;x
9492218;Minister of Security;Marc André Laguerre;41;SC;Efficient Sociopath;High;M2408403;x
9892237;Chief of Navy;Georges Thierry d'Argenlieu;43;SC;Decisive Naval Battle Doctrine;High;M2408404;x
