U02;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
825001;Head of State;Victor Lord Linlithgow;1936;ML;Barking Buffoon;High;M59001;X
825002;Head of Government;John Edward Golightly;1936;ML;Happy Amateur;High;M59002;X
825003;Foreign Minister;Sir Jilendra Vayaphrasattar;1936;ML;iron fisted brute;High;M59003;X
825004;Minister of Armament;Anyang Bhula;1936;ML;Infantry Proponent;Very High;M59004;X
825005;Minister of Security;George H. Douglas;1936;ML;Crooked Kleptocrat;Medium;M59005;X
825006;Head of Military Intelligence;Archibald Angus;1936;ML;Political Specialist;Very High;M59006;X
825007;Chief of Staff;Victor Lord Linlithgow;1936;ML;School of Mass Combat;Medium;M59007;X
825008;Chief of Army;Arthur A. Barrett;1936;ML;Static Defence Doctrine;High;M59008;X
825009;Chief of Navy;William E. Parry;1936;ML;Base Control Doctrine;Very High;L1378;X
825010;Chief of Air Force;Bruce W. McPherson;1936;ML;Air Superiority Doctrine;High;M59010;X
825011;Head of State;Lord Louis Mountbatten;1945;SL;Popular Figurehead;High;M59033;X
825012;Head of State;Archibald Wavell;1942;ML;Barking Buffoon;High;M59034;X
825013;Head of Government;Michael Morris;1936;SL;Backroom Backstabber;High;M59038;X
825014;Head of Government;Dr. John Mathai;1945;SL;Old General;High;M59039;X
825015;Foreign Minister;Bahadur Jayla of Khoch Bahur;1936;SL;iron fisted brute;High;M59048;X
825016;Foreign Minister;Agha Khan III;1936;PA;the cloak n dagger schemer;Medium;M59051;X
825017;Minister of Armament;Michael Morris;1936;SL;Theoretical Scientist;Medium;M59038;X
825018;Minister of Armament;Dr. John Mathai;1940;SL;Military Entrepreneur;Medium;M59039;X
825019;Minister of Armament;Sir Chhotu Ram;1938;PA;Military Entrepreneur;High;M59026;X
825020;Minister of Security;Nizam Osman of Hyderabad;1936;ML;Back Stabber;Very High;M59015;X
825021;Minister of Security;Muhammed Mujeeb;1938;ML;Back Stabber;low;M59073;X
825022;Minister of Security;Ajoy Kumar Ghosh;1942;PA;Silent Lawyer;Very Low;M59023;X
825023;Head of Military Intelligence;Stephen Hope-Carlill;1945;SL;Dismal Enigma;Medium;L1356;X
825024;Head of Military Intelligence;Lindsey Stephenson;1938;ML;Political Specialist;Medium;M59084;X
825025;Chief of Staff;Sir H. R. Pownall;1941;SC;School of Manoeuvre;High;L1253;X
825026;Chief of Army;Brooke-Popham;1939;SC;Guns and Butter Doctrine;Medium;L1051;X
825027;Chief of Army;Sir Frank Messervy;1945;SL;Static Defence Doctrine;Very Low;M59102;X
825028;Chief of Army;Archibald Wavell;1942;ML;Static Defence Doctrine;High;M59034;X
825029;Chief of Navy;W.H. Gould-Bradford;1942;ML;Base Control Doctrine;Medium;L1349;X
825030;Chief of Army;Beauchamp Duff;1914;SC;Decisive Battle Doctrine;Medium;3384;X
825031;Chief of Army;Charles Monro;1916;SC;Static Defence Doctrine;Medium;3385;X
825032;Chief of Army;Henry Rawlinson;1920;SC;Static Defence Doctrine;Medium;2673;X
825033;Chief of Staff;Beauchamp Duff;1914;SC;School of Defence;Medium;3384;X
825034;Chief of Staff;Charles Monro;1916;SC;School of Defence;Medium;3385;X
825035;Chief of Staff;Henry Rawlinson;1920;SC;School of Mass Combat;Medium;2673;X
825036;Head of Government;Charles Hardinge;1910;SC;Happy Amateur;Medium;2676;X
825037;Head of Government;Frederic Thesiger;1916;SC;Happy Amateur;Medium;2672;X
825038;Head of Government;Rufus Isaacs;1921;SC;Naive Optimist;Medium;3387;X
825040;Head of State;Robert Crewe-Milnes;1911;ML;Insignificant Layman;Medium;2674;X
825041;Head of State;Austen Chamberlain;1915;SC;Benevolent Gentleman;Medium;2675;X
825042;Head of State;Edwin Samuel Montagu;1917;ML;Pig-headed Isolationist;Medium;3386;X
825039;Head of State;William Peel;1922;SC;Barking Buffoon;Medium;3990;X
