U87;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
1000001;Head of State;Wang Jingwei;36;FA;Insignificant Layman;Very High;M1000001;X
1000002;Head of Government;Wang Jingwei;36;NS;Corporate Suit;Very High;M1000001;X
1000003;Foreign Minister;Chu Minyi;36;FA;Biased Intellectual;Very High;M1000003;X
1000004;Minister of Armament;Zhou Fohai;36;FA;Resource Industrialist;Very High;M1000004;X
1000005;Minister of Security;Chen Gongbo;36;FA;Crime Fighter;Very High;M1000005;X
1000006;Head of Military Intelligence;Li Shiqun;36;FA;Logistics Specialist;Very High;M1000006;X
1000007;Chief of Staff;Bao Wenyue;36;FA;School of Mass Combat;Very High;M1000007;X
1000008;Chief of Army;Xiao Shuxuan;36;FA;Static Defence Doctrine;Very High;M1000008;X
1000009;Chief of Navy;Ren Yuandao;36;FA;Decisive Naval Battle Doctrine;Very High;M1000009;X
1000010;Chief of Air Force;Chen Changchu;36;FA;Air Superiority Doctrine;Very High;M1000010;X
1000011;Head of State;Liang Hongzhi;36;FA;Insignificant Layman;Very High;M1000011;X
1000012;Head of State;Chen Gongbo;36;FA;Autocratic Charmer;Very High;M1000005;X
1000013;Head of Government;Liang Hongzhi;36;FA;Naive Optimist;Very High;M1000011;X
1000014;Head of Government;Chen Gongbo;36;FA;Political Protege;Very High;M1000005;X
1000015;Head of Government;Nobuyuki Abe;40;FA;Old General;High;M1000015;X
1000016;Minister of Armament;Teiichi Suzuki;43;FA;Resource Industrialist;High;M1000016;X
1000017;Minister of Armament;Okinori Kaya;44;FA;Administrative Genius;Low;M1000017;X
1000018;Chief of Army;Nobuyuki Abe;40;FA;Decisive Battle Doctrine;Medium;M1000015;X
1000019;Chief of Army;Chen Cheng;37;FA;Static Defence Doctrine;High;M1000019;X
1000020;Chief of Army;Qi Xieyuan;37;FA;Decisive Battle Doctrine;High;M1000020;X
1000021;Minister of Security;Gao Guanwu;37;FA;Silent Lawyer;High;M1000021;X
1000022;Chief of Staff;Chen Cheng;37;FA;School of Defence;High;M1000019;X
1000023;Chief of Navy;Ling Xiao;37;FA;Decisive Naval Battle Doctrine;High;M1000023;X
