U50;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
850001;Head of State;Subhas Chandra Bose;36;NS;Resigned Generalissimo;Very High;M850001;x
850002;Head of State;Burhan-ud-Din;36;PA;Insignificant Layman;Very High;M850002;x
850003;Head of State;Mohan Singh;36;FA;Resigned Generalissimo;Very High;M850003;x
850004;Head of State;Rash Behari Bose;36;FA;Popular Figurehead;Very High;M850004;x
850005;Head of Government;Subhas Chandra Bose;36;NS;Old General;Very High;M850001;x
850006;Head of Government;Burhan-ud-Din;36;PA;Ambitious Union Boss;Very High;M850002;x
850007;Head of Government;Mohan Singh;36;FA;Old General;Very High;M850003;x
850008;Head of Government;Rash Behari Bose;36;FA;Political Protege;Very High;M850004;x
850009;Foreign Minister;Subhas Chandra Bose;36;NS;The Cloak N Dagger Schemer;Very High;M850001;x
850010;Foreign Minister;A. C. N. Nambiar;36;FA;The Cloak N Dagger Schemer;Very High;M850010;x
850011;Minister of Armament;Subhas Chandra Bose;36;NS;Administrative Genius;Very High;M850001;x
850012;Minister of Security;Subbier Appadurai Ayer;36;FA;Silent Lawyer;Very High;M850012;x
850013;Minister of Security;Kailash Nath Katju;36;FA;Back Stabber;Very High;M850013;x
850014;Head of Military Intelligence;Jaganath Rao Bhonsle;36;FA;Logistics Specialist;Very High;M850014;x
850015;Head of Military Intelligence;Mohammad Zaman Kiani;36;FA;Political Specialist;Very High;M850015;x
850019;Chief of Staff;Mohan Singh;36;FA;School of Defence;Very High;M850003;x
850016;Chief of Staff;Jaganath Rao Bhonsle;36;FA;School of Defence;Very High;M850014;x
850017;Chief of Staff;Mohammad Zaman Kiani;36;FA;School of Mass Combat;Very High;M850015;x
850018;Chief of Staff;Burhan-ud-Din;36;PA;School of Psychology;Very High;M850002;x
850027;Chief of Army;Mohan Singh;36;FA;Guns and Butter Doctrine;Very High;M850003;x
850020;Chief of Army;Jaganath Rao Bhonsle;36;FA;Decisive Battle Doctrine;Very High;M850014;x
850021;Chief of Army;Mohammad Zaman Kiani;36;FA;Static Defence Doctrine;Very High;M850015;x
850022;Chief of Army;Shah Nawaz Khan;36;FA;Decisive Battle Doctrine;Very High;M850022;x
850023;Chief of Army;Prem Kumar Sahgal;36;FA;Decisive Battle Doctrine;Very High;M850023;x
850025;Chief of Army;A. D. Loganadan;36;FA;Static Defence Doctrine;Very High;M850024;x
850026;Chief of Army;Burhan-ud-Din;36;PA;Static Defence Doctrine;Very High;M850002;x
850028;Chief of Navy;Ram Dass Katari;36;FA;Open Seas Doctrine;Very High;M850028;x
850029;Chief of Navy;Jaganath Rao Bhonsle;36;FA;Base Control Doctrine;Very High;M850014;x
850030;Chief of Navy;Mohammad Zaman Kiani;36;FA;Open Seas Doctrine;Very High;M850015;x
850031;Chief of Air Force;Ramesh Sakharam Benegal;36;FA;Air Superiority Doctrine;Very High;M850031;x
