U45;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1040001;Head of State;Adolf Hitler;36;NS;Powerhungry Demagogue;High;M1;x
1040002;Head of State;Alfred Rosenberg;36;NS;Ruthless Powermonger;High;M1015002;x
1040003;Head of Government;Josef Terboven;36;NS;Backroom Backstabber;High;M1040003;x
1040004;Head of Government;Franz Böhme;36;NS;Old General;High;L36;x
1040005;Foreign Minister;Josef Terboven;36;NS;Ideological Crusader;High;M1040003;x
1040006;Foreign Minister;Franz Böhme;36;NS;The Cloak N Dagger Schemer;High;L36;x
1040007;Minister of Armament;Heinrich Koppenberg;36;NS;Resource Industrialist 2;High;M1040007;x
1040008;Minister of Armament;Josef Terboven;36;NS;Resource Industrialist 2;High;M1040003;x
1040009;Minister of Security;Wilhelm Rediess;36;NS;Crooked Kleptocrat;Medium;M1040009;x
1040010;Minister of Security;Hans Hüttig;36;NS;Back Stabber;Medium;M1040010;x
1040011;Head of Military Intelligence;Wilhelm Rediess;36;NS;Political Specialist;Medium;M1040009;x
1040012;Head of Military Intelligence;Hans Hüttig;36;NS;Political Specialist;Medium;M1040010;x
1040013;Chief of Staff;Nikolaus von Falkenhorst;36;NS;School of Defence;High;L294;x
1040014;Chief of Staff;Lothar Rendulic;36;NS;School of Manoeuvre;High;L568;x
1040015;Chief of Staff;Franz Böhme;36;NS;School of Defence;High;L36;x
1040016;Chief of Army;Nikolaus von Falkenhorst;36;NS;Static Defence Doctrine;High;L294;x
1040017;Chief of Army;Lothar Rendulic;36;NS;Armoured Spearhead Doctrine;High;L568;x
1040018;Chief of Army;Franz Böhme;36;NS;Guns and Butter Doctrine;High;L36;x
1040019;Chief of Navy;Hermann Boehm;36;NS;Base Control Doctrine;High;L377;x
1040020;Chief of Navy;Otto Ciliax;36;NS;Decisive Naval Battle Doctrine;High;L385;x
1040021;Chief of Navy;Theodor Krancke;36;NS;Decisive Naval Battle Doctrine;High; L400;x
1040022;Chief of Air Force;Erhard Milch;36;NS;Air Superiority Doctrine;High;L456;x
1040023;Chief of Air Force;Hans-Jürgen Stumpff;36;NS;Air Superiority Doctrine;High;L471;x
1040024;Chief of Air Force;Josef Kammhuber;36;NS;Air Superiority Doctrine;High;L448;x
1040025;Head of State;Vidkun Quisling;36;NS;Powerhungry Demagogue;High;M1040025;x
1040026;Head of Government;Albert Viljam Hagelin;36;NS;Corporate Suit;High;M1040026;x
1040027;Head of Government;Rolf Jørgen Fuglesang;36;NS;Ambitious Union Boss;High;M1040027;x
1040028;Head of Government;Arnvid Vasbotten;36;NS;Backroom Backstabber;High;M1040028;x
1040029;Foreign Minister;Vidkun Quisling;36;NS;Ideological Crusader;High;M1040025;x
1040030;Minister of Armament;Eivind Blehr;36;NS;Administrative Genius;High;M1040030;x
1040031;Minister of Armament;Frederik Prytz;36;NS;laissez-faire capitalist;High;M1040031;x
1040032;Minister of Armament;Tormod Hustad;36;NS;laissez-faire capitalist;High;M1040032;x
1040033;Minister of Armament;Hans Skarphagen;36;NS;Corrupt Kleptocrat;High;M1040033;x
1040034;Minister of Armament;Per von Hirsch;36;NS;Resource Industrialist 2;High;M1040034;x
1040035;Minister of Security;Sverre Riisnaes;36;NS;Back Stabber;Medium;M1040035;x
1040036;Minister of Security;Albert Viljam Hagelin;36;NS;Efficient Sociopath;Medium;M1040026;x
1040037;Head of Military Intelligence;Jonas Lie;36;NS;Logistics Specialist;High;M1040037;x
1040038;Chief of Staff;Alf Larsen Whist;36;NS;School of Psychology;High;M1040038;x
1040039;Chief of Staff;Johan A. Lippestad;36;NS;School of Psychology;High;M1040039;x
1040041;Chief of Army;Sophus M. B. Kahrs;36;NS;Guns and Butter Doctrine;High;M1040041;x
1040042;Chief of Army;Arthur Qvist;36;NS;Guns and Butter Doctrine;High;M1040042;x
1040043;Minister of Security;Oliver Møystad;36;NS;Compassionate Gentleman;High;M1040043;x
1040044;Chief of Army;Oliver Møystad;36;NS;Static Defence Doctrine;High;M1040043;x
1040045;Chief of Army;Thorleiv Bugge Røhn;36;NS;Decisive Battle Doctrine;High;M1040045;x
1040046;Chief of Army;Konrad Sundlo;36;NS;Decisive Battle Doctrine;High;M1040046;x
1040047;Chief of Air Force;Reidar Aagaard;36;NS;Air Superiority Doctrine;High;M1040047;x
1040040;Chief of Navy;Kjeld Stub Irgens;36;NS;Decisive Naval Battle Doctrine;High;M1040040;x
