U15;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
831001;Head of State;Victor Lord Linlithgow;1936;ML;Barking Buffoon;High;M59001;X
831002;Head of Government;John Edward Golightly;1936;ML;Happy Amateur;High;M59002;X
831003;Foreign Minister;Sir Jilendra Vayaphrasattar;1936;ML;iron fisted brute;High;M59003;X
831004;Minister of Armament;Anyang Bhula;1936;ML;Infantry Proponent;Very High;M59004;X
831005;Minister of Security;George H. Douglas;1936;ML;Crooked Kleptocrat;Medium;M59005;X
831006;Head of Military Intelligence;Archibald Angus;1936;ML;Political Specialist;Very High;M59006;X
831007;Chief of Staff;Victor Lord Linlithgow;1936;ML;School of Mass Combat;Medium;M59007;X
831008;Chief of Army;Arthur A. Barrett;1936;ML;Static Defence Doctrine;High;M59008;X
831009;Chief of Navy;William E. Parry;1936;ML;Base Control Doctrine;Very High;L1378;X
831010;Chief of Air Force;Bruce W. McPherson;1936;ML;Air Superiority Doctrine;High;M59010;X
831011;Head of State;Lord Louis Mountbatten;1945;SL;Popular Figurehead;High;M59033;X
831012;Head of State;Archibald Wavell;1942;ML;Barking Buffoon;High;M59034;X
831013;Head of Government;Michael Morris;1936;SL;Backroom Backstabber;High;M59038;X
831014;Head of Government;Dr. John Mathai;1945;SL;Old General;High;M59039;X
831015;Foreign Minister;Bahadur Jayla of Khoch Bahur;1936;SL;iron fisted brute;High;M59048;X
831016;Foreign Minister;Agha Khan III;1936;PA;the cloak n dagger schemer;Medium;M59051;X
831017;Minister of Armament;Michael Morris;1936;SL;Theoretical Scientist;Medium;M59038;X
831018;Minister of Armament;Dr. John Mathai;1940;SL;Military Entrepreneur;Medium;M59039;X
831019;Minister of Armament;Sir Chhotu Ram;1938;PA;Military Entrepreneur;High;M59026;X
831020;Minister of Security;Nizam Osman of Hyderabad;1936;ML;Back Stabber;Very High;M59015;X
831021;Minister of Security;Muhammed Mujeeb;1938;ML;Back Stabber;low;M59073;X
831022;Minister of Security;Ajoy Kumar Ghosh;1942;PA;Silent Lawyer;Very Low;M59023;X
831023;Head of Military Intelligence;Stephen Hope-Carlill;1945;SL;Dismal Enigma;Medium;L1356;X
831024;Head of Military Intelligence;Lindsey Stephenson;1938;ML;Political Specialist;Medium;M59084;X
831025;Chief of Staff;Sir H. R. Pownall;1941;SC;School of Manoeuvre;High;L1253;X
831026;Chief of Army;Brooke-Popham;1939;SC;Guns and Butter Doctrine;Medium;L1051;X
831027;Chief of Army;Sir Frank Messervy;1945;SL;Static Defence Doctrine;Very Low;M59102;X
831028;Chief of Army;Archibald Wavell;1942;ML;Static Defence Doctrine;High;M59034;X
831029;Chief of Navy;W.H. Gould-Bradford;1942;ML;Base Control Doctrine;Medium;L1349;X
831030;Chief of Army;Beauchamp Duff;1914;SC;Decisive Battle Doctrine;Medium;3384;X
831031;Chief of Army;Charles Monro;1916;SC;Static Defence Doctrine;Medium;3385;X
831032;Chief of Army;Henry Rawlinson;1920;SC;Static Defence Doctrine;Medium;2673;X
831033;Chief of Staff;Beauchamp Duff;1914;SC;School of Defence;Medium;3384;X
831034;Chief of Staff;Charles Monro;1916;SC;School of Defence;Medium;3385;X
831035;Chief of Staff;Henry Rawlinson;1920;SC;School of Mass Combat;Medium;2673;X
831036;Head of Government;Charles Hardinge;1910;SC;Happy Amateur;Medium;2676;X
831037;Head of Government;Frederic Thesiger;1916;SC;Happy Amateur;Medium;2672;X
831038;Head of Government;Rufus Isaacs;1921;SC;Naive Optimist;Medium;3387;X
831039;Head of State;Robert Crewe-Milnes;1911;ML;Insignificant Layman;Medium;2674;X
831040;Head of State;Austen Chamberlain;1915;SC;Benevolent Gentleman;Medium;2675;X
831041;Head of State;Edwin Samuel Montagu;1917;ML;Pig-headed Isolationist;Medium;3386;X
831042;Head of State;William Peel;1922;SC;Barking Buffoon;Medium;3990;X
831043;Head of State;Sir Reginald Dorman-Smith;36;ML;Stern Imperialist;High;M563001;x
831044;Head of Government;Hubert Elvin Rance;36;ML;Naive Optimist;High;M563002;x
831045;Foreign Minister;Sir Archibald Cochrane;36;ML;General Staffer;High;M563003;x
831046;Minister of Armament;Robert Fitzhendricks;36;ML;Military Entrepreneur;Medium;M563004;x
831047;Minister of Security;John Collins;36;ML;Crime Fighter;Medium;M563005;x
831048;Head of Military Intelligence;Lord Ralph Bottomley;36;ML;Dismal Enigma;Medium;M563006;x
831049;Chief of Staff;Sir Archibald Cochrane;36;ML;School of Defence;Medium;M563003;x
831050;Chief of Army;Donald Clarkson;36;ML;Static Defence Doctrine;Medium;M563008;x
831051;Chief of Navy;Hubert Scott-Paine;36;ML;Power Projection Doctrine;Medium;M563009;x
831052;Chief of Air Force;P.C. Maltby;36;ML;Army Aviation Doctrine;Medium;M563010;x
831053;Head of State;Thakin Bai Thei Tin;36;ST;Ruthless Powermonger;High;M563011;x
831054;Head of State;Sao Shwe Thaike;36;SD;Die-hard Reformer;High;M563012;x
831055;Head of State;H.M. Sao Yang Wen Pin;36;PA;Pig-headed Isolationist;High;M563013;x
831056;Head of State;Ba Oo;36;FA;Insignificant Layman;High;M563014;x
831057;Head of Government;Thakin Soe Buu;36;ST;Old Admiral;High;M563015;x
831058;Head of Government;Aung San;36;SD;Old General;High;M563016;x
831059;Head of Government;H.R.H. Sao Edward Yang Kyein Tsai;36;PA;Political Protege;High;M563017;x
831060;Head of Government;Ba Maw;36;FA;Flamboyant Tough Guy;High;M563018;x
831061;Foreign Minister;Thaik Tun;36;ST;Ideological Crusader;High;M563019;x
831062;Foreign Minister;U Thant;36;SD;Great Compromiser;High;M563020;x
831063;Foreign Minister;Thakin Nu;36;PA;Apologetic Clerk;High;M563021;x
831064;Foreign Minister;Galon Saw Oo;36;FA;The Cloak N Dagger Schemer;High;M563022;x
831065;Minister of Armament;Thakin Ba Thaung;36;ST;Submarine Proponent;Medium;M563023;x
831066;Minister of Armament;Aung Gyi;36;SD;laissez-faire capitalist;Medium;M563024;x
831067;Minister of Armament;James Franklyn;36;PA;Administrative Genius;Medium;M563025;x
831068;Minister of Armament;Ba Khin;36;FA;Air to Ground Proponent;Medium;M563026;x
831069;Minister of Security;A.N. Ghosal;36;ST;Compassionate Gentleman;Medium;M563027;x
831070;Minister of Security;Wing Maung;36;SD;Back Stabber;Medium;M563028;x
831071;Minister of Security;Sein Lwin;36;PA;Silent Lawyer;Medium;M563029;x
831072;Minister of Security;Ne Win;36;FA;Compassionate Gentleman;Medium;L101130;x
831073;Head of Military Intelligence;Hem Chandra Mazumdar;36;ST;Industrial Specialist;Medium;M563031;x
831074;Head of Military Intelligence;Hla Myaing;36;SD;Logistics Specialist;Medium;M563032;x
831075;Head of Military Intelligence;Cecil Crouch Ford;36;PA;Political Specialist;Medium;M563033;x
831076;Head of Military Intelligence;Keneko Toyoji;36;FA;Technical Specialist;Medium;M563034;x
831077;Chief of Staff;Ne Win;36;ST;School of Manoeuvre;Medium;L101130;x
831078;Chief of Staff;Smith Dun;36;SD;School of Psychology;Medium;M563036;x
831079;Chief of Staff;Mason Fitzgerald;41;ML;School of Fire Support;Medium;M563037;x
831080;Chief of Staff;Bo Mya;36;PA;School of Psychology;Medium;M563038;x
831081;Chief of Staff;Khun Sa;36;FA;School of Manoeuvre;Medium;M563039;x
831082;Chief of Army;Maung Khin;36;ST;Decisive Battle Doctrine;Medium;M563040;x
831083;Chief of Army;Aung San;36;SD;Guns and Butter Doctrine;Medium;M563016;x
831084;Chief of Army;William Merrick;43;ML;Armoured Spearhead Doctrine;Medium;M563042;x
831085;Chief of Army;Galon Saw Oo;36;PA;Elastic Defence Doctrine;Medium;M563022;x
831086;Chief of Army;Ne Win;36;FA;Decisive Battle Doctrine;Medium;L101130;x
831087;Chief of Navy;Thakin Soe Buu;36;ST;Indirect Approach Doctrine;Medium;M563015;x
831088;Chief of Navy;Khin Maung Swe;36;SD;Base Control Doctrine;Medium;M563046;x
831089;Chief of Navy;Claude Poigdestre;36;PA;Decisive Naval Battle Doctrine;Medium;M563047;x
831090;Chief of Navy;Hsaya Maung Thaw Ka;36;FA;Open Seas Doctrine;Medium;M563048;x
831091;Chief of Air Force;Thaik Tun;36;ST;Vertical Envelopment Doctrine;Medium;M563019;x
831092;Chief of Air Force;Naw Seng;36;SD;Naval Aviation Doctrine;Medium;M563050;x
831093;Chief of Air Force;Aik Luk;36;PA;Air Superiority Doctrine;Medium;M563051;x
